"contact_id","first_name","last_name","email","category_id","category","subcategory_id","subcategory","cf_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launch_date","end_date"
4661,"Cecilia","Velasco","cecilia.velasco@rodrigues.fr","cat1","food","subcat1","food trucks",147,"Baldwin, Riley and Jackson","Pre-emptive tertiary standardization",100,0,"failed",0,"CA","CAD","2020-02-13","2021-03-01"
3765,"Mariana","Ellis","mariana.ellis@rossi.org","cat2","music","subcat2","rock",1621,"Odom Inc","Managed bottom-line architecture",1400,14560,"successful",158,"US","USD","2021-01-25","2021-05-25"
4187,"Sofie","Woods","sofie.woods@riviere.com","cat3","technology","subcat3","web",1812,"Melton, Robinson and Fritz","Function-based leadingedge pricing structure",108400,142523,"successful",1425,"AU","AUD","2020-12-17","2021-12-30"
4941,"Jeanette","Iannotti","jeanette.iannotti@yahoo.com","cat2","music","subcat2","rock",2156,"Mcdonald, Gonzalez and Ross","Vision-oriented fresh-thinking conglomeration",4200,2477,"failed",24,"US","USD","2021-10-21","2022-01-17"
2199,"Samuel","Sorgatz","samuel.sorgatz@gmail.com","cat4","theater","subcat4","plays",1365,"Larson-Little","Proactive foreground core",7600,5265,"failed",53,"US","USD","2020-12-21","2021-08-23"
5650,"Socorro","Luna","socorro.luna@hotmail.com","cat4","theater","subcat4","plays",2057,"Harris Group","Open-source optimizing database",7600,13195,"successful",174,"DK","DKK","2020-12-11","2021-08-29"
5889,"Carolina","Murray","carolina.murray@knight.com","cat5","film & video","subcat5","documentary",1894,"Ortiz, Coleman and Mitchell","Operative upward-trending algorithm",5200,1090,"failed",18,"GB","GBP","2020-07-31","2021-05-11"
4842,"Kayla","Moon","kayla.moon@yahoo.de","cat4","theater","subcat4","plays",2669,"Carter-Guzman","Centralized cohesive challenge",4500,14741,"successful",227,"DK","DKK","2020-12-22","2021-09-21"
3280,"Ariadna","Geisel","ariadna.geisel@rangel.com","cat4","theater","subcat4","plays",1114,"Nunez-Richards","Exclusive attitude-oriented intranet",110100,21946,"live",708,"DK","DKK","2020-04-08","2021-03-10"
5468,"Danielle","Ladeck","danielle.ladeck@scalfaro.net","cat2","music","subcat6","electric music",970,"Rangel, Holt and Jones","Open-source fresh-thinking model",6200,3208,"failed",44,"US","USD","2021-08-13","2021-08-31"
